name,short_description,genres,release_date,developer,publisher,overall_player_rating,number_of_reviews_from_purchased_people,number_of_english_reviews,link
Lethal Company,A co-op horror about scavenging at abandoned moons to sell scrap to the Company.,"Online Co-Op, Horror, First-Person, Co-op, Survival Horror, Exploration, Psychological Horror, Funny, Sci-fi, PvE, Atmospheric, Procedural Generation, Aliens, Time Management, Adventure, Dungeon Crawler, Action, Early Access, Action-Adventure, Perma Death",2023-10-23,Zeekerss,Zeekerss,Overwhelmingly Positive,"(349,667)",302108,https://store.steampowered.com/app/1966720/Lethal_Company?snr=1_category_4_adventure_salebrowseall
Thank Goodness Youre Here!,"Thank Goodness Youre Here! is an absurd comedy slapformer set in the bizarre Northern English town of Barnsworth. As a traveling salesman, take the time to see the sights and meet the locals, who are very eager to give you a series of increasingly odd jobs…","Adventure, Comedy, Hand-drawn, Funny, Exploration, Casual, 2D Platformer, Platformer, 2D, Short, Side Scroller, Indie, Colorful, Cartoon, Singleplayer, Open World, Cartoony, Puzzle, Cinematic, Puzzle Platformer",2024-08-01,Coal Supper,Panic,Overwhelmingly Positive,"(2,604)",2348,https://store.steampowered.com/app/2366980/Thank_Goodness_Youre_Here?snr=1_category_4_adventure_salebrowseall
STAR WARS™ Battlefront™ II,Be the hero in the ultimate STAR WARS™ battle fantasy with STAR WARS™ Battlefront™ II: Celebration Edition!,"Multiplayer, Shooter, Singleplayer, Action, Third-Person Shooter, Space, FPS, Sci-fi, Co-op, Combat, Online Co-Op, Vehicular Combat, First-Person, Third Person, Adventure, PvP, Aliens, Controller, Tactical, Character Customization",2017-11-16,DICE,Electronic Arts,Very Positive,"(51,748)",35069,https://store.steampowered.com/app/1237950/STAR_WARS_Battlefront_II?snr=1_category_4_adventure_salebrowseall
Chained Together,"From the depths of hell, climb chained to your friends through diverse worlds. Solo or co-op, try to reach the summit and discover what awaits you there...","Co-op, Adventure, Casual, Platformer, Simulation, Puzzle Platformer, Action-Adventure, 3D Platformer, Third Person, Exploration, Funny, Online Co-Op, Mystery, Post-apocalyptic, Emotional, Multiplayer, Physics, Surreal, Choices Matter, Controller",2024-06-19,Anegar Games,Anegar Games,Very Positive,"(27,401)",13601,https://store.steampowered.com/app/2567870/Chained_Together?snr=1_category_4_adventure_100726
Forza Horizon 5,"Explore the vibrant open world landscapes of Mexico with limitless, fun driving action in the world’s greatest cars. Join a thrilling game of chase with our new 5v1 Multiplayer Experience: Hide & Seek.","Racing, Open World, Driving, Multiplayer, Automobile Sim, Realistic, Simulation, Adventure, Arcade, Exploration, First-Person, Atmospheric, Sports, Co-op, PvP, Online Co-Op, Singleplayer, Beautiful, Action, VR",2021-11-08,Playground Games,Xbox Game Studios,Very Positive,"(177,814)",73657,https://store.steampowered.com/app/1551360/Forza_Horizon_5?snr=1_category_4_adventure_100726
ARK: Survival Ascended,"ARK is reimagined from the ground-up into the next-generation of video game technology with Unreal Engine 5! Form a tribe, tame & breed hundreds of unique dinosaurs and primeval creatures, explore, craft, build, and fight your way to the top of the food-chain. Your new world awaits!","Early Access, Survival, Open World, Dinosaurs, Multiplayer, Adventure, Building, Action, Crafting, Base Building, Sandbox, Character Customization, PvE, PvP, Singleplayer, Massively Multiplayer, Inventory Management, RPG, Sci-fi, Fantasy",2023-10-25,"Studio Wildcard, Grove Street Games, Instinct Games","Studio Wildcard, Snail Games USA",Mixed,"(54,833)",36814,https://store.steampowered.com/app/2399830/ARK_Survival_Ascended?snr=1_category_4_adventure_100726
Sons Of The Forest,"Sent to find a missing billionaire on a remote island, you find yourself in a cannibal-infested hellscape. Craft, build, and struggle to survive, alone or with friends, in this terrifying new open-world survival horror simulator.","Survival, Open World, Multiplayer, Co-op, Survival Horror, Base Building, Horror, Crafting, First-Person, Exploration, Building, Adventure, Singleplayer, Atmospheric, Action-Adventure, Sandbox, Action, Simulation, Early Access, Immersive Sim",2024-02-22,Endnight Games Ltd,Newnight,Very Positive,"(182,802)",97879,https://store.steampowered.com/app/1326470/Sons_Of_The_Forest?snr=1_category_4_adventure_100726
DREDGE,"DREDGE is a single-player fishing adventure with a sinister undercurrent. Sell your catch, upgrade your boat, and dredge the depths for long-buried secrets. Explore a mysterious archipelago and discover why some things are best left forgotten.","Exploration, Fishing, Lovecraftian, Open World, Adventure, Mystery, Inventory Management, Atmospheric, RPG, Simulation, Psychological Horror, Singleplayer, Horror, Stylized, Survival Horror, Psychological, Story Rich, Sailing, 3D, Indie",2023-03-30,Black Salt Games,Team17,Overwhelmingly Positive,"(29,450)",24086,https://store.steampowered.com/app/1562430/DREDGE?snr=1_category_4_adventure_100726
Crime Scene Cleaner,"Once you get tangled with the mob, you will forever be a part of the mob. At least they pay a decent salary and all you have to do is clean up after their dirty work, but you know what you’re doing. So clean crime scenes, earn as much money as you can, and get ready for the next mission.","Crime, Simulation, Gore, Singleplayer, First-Person, Mature, Action, Adventure, Atmospheric, Funny, Realistic, Exploration, Stealth, Indie, Life Sim, Walking Simulator, Hacking, Heist, Great Soundtrack, Violent",2024-08-14,President Studio,"President Studio, PlayWay S.A.",Overwhelmingly Positive,"(7,625)",3870,https://store.steampowered.com/app/1040200/Crime_Scene_Cleaner?snr=1_category_4_adventure_100726
Subnautica,"Descend into the depths of an alien underwater world filled with wonder and peril. Craft equipment, pilot submarines and out-smart wildlife to explore lush coral reefs, volcanoes, cave systems, and more - all while trying to survive.","Open World Survival Craft, Survival, Horror, Open World, Underwater, Exploration, Crafting, Base Building, Singleplayer, Adventure, First-Person, Sci-fi, Sandbox, Atmospheric, Aliens, Multiplayer, Survival Horror, Indie, VR, Action",2018-01-23,Unknown Worlds Entertainment,Unknown Worlds Entertainment,Overwhelmingly Positive,"(255,752)",161501,https://store.steampowered.com/app/264710/Subnautica?snr=1_category_4_adventure_100727
