name,short_description,genres,release_date,developer,publisher,overall_player_rating,number_of_reviews_from_purchased_people,number_of_english_reviews,link
Black Myth: Wukong,"Black Myth: Wukong is an action RPG rooted in Chinese mythology. You shall set out as the Destined One to venture into the challenges and marvels ahead, to uncover the obscured truth beneath the veil of a glorious legend from the past.","Mythology, Action RPG, Action, RPG, Souls-like, Combat, Story Rich, Singleplayer, Drama, Action-Adventure, Dark Fantasy, Atmospheric, Adventure, 3D, Fantasy, Hack and Slash, Third Person, Difficult, Music, Violent",2024-08-19,Game Science,Game Science,Overwhelmingly Positive,"(654,820)",51931,https://store.steampowered.com/app/2358720/Black_Myth_Wukong?snr=1_category_4_action_salebrowseall
Counter-Strike 2,"For over two decades, Counter-Strike has offered an elite competitive experience, one shaped by millions of players from across the globe. And now the next chapter in the CS story is about to begin. This is Counter-Strike 2.","FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",2012-08-21,Valve,Valve,Very Positive,"(8,313,603)",2258990,https://store.steampowered.com/app/730/CounterStrike_2?snr=1_category_4_action_salebrowseall
"Warhammer 40,000: Space Marine 2",Embody the superhuman skill and brutality of a Space Marine. Unleash deadly abilities and devastating weaponry to obliterate the relentless Tyranid swarms. Defend the Imperium in spectacular third-person action in solo or multiplayer modes.,"Warhammer 40K, Action, Third-Person Shooter, Adventure, Multiplayer, Action-Adventure, PvE, Co-op, Third Person, Wargame, Sci-fi, 3D, Narration, Fantasy, Space, War, Realistic, Singleplayer, Cinematic, Futuristic",2024-09-09,Saber Interactive,Focus Entertainment,Very Positive,"(81% of 62,791) All Time",51920,https://store.steampowered.com/app/2183900/Warhammer_40000_Space_Marine_2?snr=1_category_4_action_salebrowseall
Cyberpunk 2077,"Cyberpunk 2077 is an open-world, action-adventure RPG set in the dark future of Night City — a dangerous megalopolis obsessed with power, glamor, and ceaseless body modification.","Cyberpunk, Open World, Nudity, RPG, Singleplayer, Sci-fi, Futuristic, FPS, Mature, Story Rich, First-Person, Atmospheric, Exploration, Action, Violent, Great Soundtrack, Action RPG, Adventure, Character Customization, Immersive Sim",2020-12-10,CD PROJEKT RED,CD PROJEKT RED,Very Positive,"(680,264)",324124,https://store.steampowered.com/app/1091500/Cyberpunk_2077?snr=1_category_4_action_salebrowseall
ELDEN RING,"THE CRITICALLY ACCLAIMED FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.","Souls-like, Dark Fantasy, Open World, RPG, Difficult, Action RPG, Third Person, Multiplayer, Fantasy, Singleplayer, Online Co-Op, Action, Co-op, PvP, Atmospheric, Great Soundtrack, Violent, 3D, Character Customization, Family Friendly",2022-02-25,"FromSoftware, Inc.","FromSoftware, Inc., Bandai Namco Entertainment",Very Positive,"(705,261)",491741,https://store.steampowered.com/app/1245620/ELDEN_RING?snr=1_category_4_action_salebrowseall
PUBG: BATTLEGROUNDS,"Play PUBG: BATTLEGROUNDS for free. Land on strategic locations, loot weapons and supplies, and survive to become the last team standing across various, diverse Battlegrounds. Squad up and join the Battlegrounds for the original Battle Royale experience that only PUBG: BATTLEGROUNDS can offer.","Survival, Shooter, Battle Royale, Multiplayer, FPS, PvP, Third-Person Shooter, Action, Online Co-Op, Tactical, Co-op, First-Person, Strategy, Early Access, Competitive, Third Person, Team-Based, Difficult, Simulation, Stealth",2017-12-21,PUBG Corporation,"KRAFTON, Inc.",Mixed,"(2,432,683)",417109,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS?snr=1_category_4_action_salebrowseall
Apex Legends™,"Apex Legends is the award-winning, free-to-play Hero Shooter from Respawn Entertainment. Master an ever-growing roster of legendary characters with powerful abilities, and experience strategic squad play and innovative gameplay in the next evolution of Hero Shooter and Battle Royale.","Free to Play, Battle Royale, Multiplayer, FPS, Shooter, First-Person, PvP, Action, Hero Shooter, Team-Based, Tactical, Sci-fi, Survival, Loot, Character Customization, Funny, Co-op, Lore-Rich, Cyberpunk, Cinematic",2020-11-04,Respawn,Electronic Arts,Mixed,"(948,818)",406269,https://store.steampowered.com/app/1172470/Apex_Legends?snr=1_category_4_action_salebrowseall
Dota 2,"Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if its their 10th hour of play or 1,000th, theres always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own.","Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",2013-07-09,Valve,Valve,Very Positive,"(2,322,723)",731670,https://store.steampowered.com/app/570/Dota_2?snr=1_category_4_action_salebrowseall
Party Animals,"Fight your friends as puppies, kittens and other fuzzy creatures in PARTY ANIMALS! Paw it out with your friends remotely, or huddle together for chaotic fun on the same screen. Interact with the world under our realistic physics engine. Did I mention PUPPIES?","Casual, Multiplayer, Funny, Cute, Party Game, Fighting, Action, PvP, Co-op, Party, Family Friendly, Online Co-Op, Local Multiplayer, Physics, 3D Fighter, 4 Player Local, Indie, Local Co-Op, Team-Based, Action-Adventure",2023-09-20,Recreate Games,Source Technology,Mostly Positive,"(38,225)",16141,https://store.steampowered.com/app/1260320/Party_Animals?snr=1_category_4_action_salebrowseall
Total War: WARHAMMER III,"The cataclysmic conclusion to the Total War: WARHAMMER trilogy is here. Rally your forces and step into the Realm of Chaos, a dimension of mind-bending horror where the very fate of the world will be decided. Will you conquer your Daemons… or command them?","Strategy, Turn-Based Strategy, Grand Strategy, RTS, Fantasy, Real Time Tactics, War, Dark Fantasy, Action, Tactical, Atmospheric, Dwarf, Games Workshop, Multiplayer, Colorful, Co-op, PvP, Singleplayer, Story Rich, Online Co-Op",2022-02-16,"CREATIVE ASSEMBLY, Feral Interactive","SEGA, Feral Interactive",Mixed,"(75,474)",61292,https://store.steampowered.com/app/1142710/Total_War_WARHAMMER_III?snr=1_category_4_action_salebrowseall
Cyberpunk 2077: Phantom Liberty,,"RPG, Sexual Content, Cyberpunk, Open World, Story Rich, Nudity, Violent, Gore, Atmospheric, Singleplayer, First-Person, FPS, Character Customization, Action RPG, Action, Choices Matter, Shooter, Horror, Great Soundtrack, Stealth",2023-09-26,CD PROJEKT RED,CD PROJEKT RED,Very Positive,"(15,726)",7969,https://store.steampowered.com/app/2138330/Cyberpunk_2077_Phantom_Liberty?snr=1_category_4_action_salebrowseall
Once Human,"Once Human is a multiplayer open-world survival game set in a strange, post-apocalyptic future. Unite with friends to fight monstrous enemies, uncover secret plots, compete for resources, and build your own territory. Once, you were merely human. Now, you have the power to remake the world.","Survival, Open World, Multiplayer, Free to Play, Co-op, Shooter, Horror, Post-apocalyptic, Base Building, Action, Adventure, Strategy, 3D, RPG, Simulation, MMORPG, Action-Adventure, PvP, Singleplayer, Strategy RPG",2024-07-09,Starry Studio,Starry Studio,Mostly Positive,"(89,006)",44785,https://store.steampowered.com/app/2139460/Once_Human?snr=1_category_4_action_salebrowseall
NARAKA: BLADEPOINT,"Dive into the legends of the Far East in NARAKA: BLADEPOINT; team up with friends in fast-paced melee fights for a Battle Royale experience unlike any other. Find your playstyle with a varied cast of heroes with unique skills. More than 20 million players have already joined the fray, play free now!","Battle Royale, Multiplayer, Martial Arts, PvP, Action, Female Protagonist, Character Customization, Massively Multiplayer, Fighting, Survival, Third Person, Swordplay, Hack and Slash, Anime, Parkour, Adventure, Mature, Free to Play, Violent, Gore",2021-08-11,24 Entertainment,NetEase Games Global,Mostly Positive,"(253,231)",20468,https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT?snr=1_category_4_action_salebrowseall
Warframe,Awaken as an unstoppable warrior and battle alongside your friends in this story-driven free-to-play online action game,"Free to Play, Action RPG, Looter Shooter, Third-Person Shooter, Action, RPG, Third Person, Character Customization, Massively Multiplayer, Online Co-Op, Co-op, Singleplayer, PvE, Sci-fi, Space, Lore-Rich, Shooter, Hack and Slash, Parkour, Ninja",2013-03-25,Digital Extremes,Digital Extremes,Very Positive,"(591,568)",253397,https://store.steampowered.com/app/230410/Warframe?snr=1_category_4_action_salebrowseall
Grounded,"The world is a vast, beautiful and dangerous place – especially when you have been shrunk to the size of an ant. Can you thrive alongside the hordes of giant insects, fighting to survive the perils of the backyard?","Survival, Multiplayer, Co-op, Open World Survival Craft, Base Building, Crafting, Adventure, Open World, Horror, Online Co-Op, Exploration, Action, Sandbox, First-Person, Singleplayer, RPG, Third Person, Cute, Early Access, Funny",2022-09-27,Obsidian Entertainment,Xbox Game Studios,Very Positive,"(58,988)",41223,https://store.steampowered.com/app/962130/Grounded?snr=1_category_4_action_salebrowseall
Tom Clancys Rainbow Six® Siege,"Tom Clancys Rainbow Six® Siege is an elite, tactical team-based shooter where superior planning and execution triumph.","FPS, PvP, eSports, Multiplayer, Shooter, Tactical, Competitive, Online Co-Op, Action, Hero Shooter, Team-Based, Military, Strategy, First-Person, War, Co-op, Realistic, Destruction, Difficult, 3D",2015-12-01,Ubisoft Montreal,Ubisoft,Very Positive,"(1,121,920)",646088,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege?snr=1_category_4_action_salebrowseall
Grand Theft Auto V,"Grand Theft Auto V for PC offers players the option to explore the award-winning world of Los Santos and Blaine County in resolutions of up to 4k and beyond, as well as the chance to experience the game running at 60 frames per second.","Open World, Action, Multiplayer, Crime, Automobile Sim, Third Person, First-Person, Mature, Shooter, Adventure, Singleplayer, Third-Person Shooter, Racing, Co-op, Sandbox, Atmospheric, Funny, Great Soundtrack, Comedy, Moddable",2015-04-14,Rockstar North,Rockstar Games,Very Positive,"(1,714,757)",591334,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V?snr=1_category_4_action_salebrowseall
Call of Duty®: Black Ops III,Call of Duty®: Black Ops III Zombies Chronicles Edition includes the full base game plus the Zombies Chronicles content expansion.,"Multiplayer, Zombies, FPS, Shooter, Action, First-Person, Singleplayer, Co-op, Futuristic, Illuminati, Hero Shooter, Robots, Sci-fi, Gore, Great Soundtrack, Story Rich, Atmospheric, Parkour, Quick-Time Events, Simulation",2015-11-06,"Treyarch, Aspyr (Mac)","Activision, Aspyr (Mac)",Very Positive,"(132,408)",145713,https://store.steampowered.com/app/311210/Call_of_Duty_Black_Ops_III?snr=1_category_4_action_salebrowseall
Like a Dragon: Infinite Wealth,"Two larger-than-life heroes, Ichiban Kasuga and Kazuma Kiryu are brought together by the hand of fate, or perhaps something more sinister… Live it up in Japan and explore all that Hawaii has to offer in an RPG adventure so big it spans the Pacific.","Action, Adventure, JRPG, Turn-Based Combat, Sexual Content, Comedy, Emotional, Story Rich, Action RPG, Funny, Singleplayer, Violent, Turn-Based, Action-Adventure, RPG, 'Beat em up', Martial Arts, Gore, Colorful, Great Soundtrack",2024-01-25,Ryu Ga Gotoku Studio,SEGA,Very Positive,"(8,978)",6052,https://store.steampowered.com/app/2072450/Like_a_Dragon_Infinite_Wealth?snr=1_category_4_action_salebrowseall
Dead by Daylight,"Dead by Daylight is a multiplayer (4vs1) horror game where one player takes on the role of the savage Killer, and the other four players play as Survivors, trying to escape the Killer and avoid being caught and killed.","Horror, Survival Horror, Multiplayer, Online Co-Op, Co-op, Survival, Gore, Team-Based, Blood, Stealth, Third Person, Violent, First-Person, Psychological Horror, Action, Atmospheric, Strategy, Comedy, Mature, Difficult",2016-06-14,Behaviour Interactive Inc.,Behaviour Interactive Inc.,Very Positive,"(540,378)",294987,https://store.steampowered.com/app/381210/Dead_by_Daylight?snr=1_category_4_action_salebrowseall
Call of Duty®,"Call of Duty® HQ supports Call of Duty®: Black Ops 6, Call of Duty®: Modern Warfare® III, Call of Duty®: Modern Warfare® II and Call of Duty®: Warzone™.","FPS, Multiplayer, Shooter, Action, Singleplayer, Military, First-Person, War, Modern, Tactical, Violent, Co-op, Realistic, Story Rich, Atmospheric, Mature, Online Co-Op, Gore, Third-Person Shooter, Third Person",2022-10-28,"Sledgehammer Games, Treyarch, Infinity Ward, Beenox, Raven Software, High Moon Studios, Demonware",Activision,Mixed,"(333,296)",299267,https://store.steampowered.com/app/1938090/Call_of_Duty?snr=1_category_4_action_salebrowseall
Street Fighter™ 6,"Here comes Capcom’s newest challenger! Street Fighter™ 6 launches worldwide on June 2nd, 2023 and represents the next evolution of the Street Fighter™ series! Street Fighter 6 spans three distinct game modes, including World Tour, Fighting Ground and Battle Hub.","2D Fighter, Fighting, Character Customization, Action, Arcade, Multiplayer, Adventure, Competitive, PvP, eSports, Open World, Singleplayer, Local Multiplayer, Controller, Action RPG, 3D, Great Soundtrack, Martial Arts, Sandbox, 3D Fighter",2023-06-01,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Very Positive,"(29,249)",22350,https://store.steampowered.com/app/1364780/Street_Fighter_6?snr=1_category_4_action_salebrowseall
The First Descendant,The First Descendant is a third-person looter shooter powered by Unreal Engine 5. Become a Descendant. Fight for the survival of humanity. Descendants have unique abilities to tackle both solo and co-op missions. Up to 4 players use varied mechanics to defeat giant bosses. BE THE FIRST DESCENDANT!,"Free to Play, Sexual Content, Looter Shooter, Multiplayer, Third-Person Shooter, RPG, Online Co-Op, Action, Shooter, Action RPG, Third Person, Singleplayer, Adventure, Sci-fi, Character Customization, Co-op, PvE, Story Rich, Combat, Violent",2024-06-30,"NEXON Games Co., Ltd.",NEXON,Mixed,"(86,455)",40551,https://store.steampowered.com/app/2074920/The_First_Descendant?snr=1_category_4_action_salebrowseall
Call of Duty®: Modern Warfare® III - BlackCell (Season 6),,"FPS, Multiplayer, Action, Shooter, Singleplayer, Military, First-Person, War, Modern, Tactical, Violent, Co-op, Realistic, Story Rich, Atmospheric, Mature, Online Co-Op, Gore, Third-Person Shooter, Third Person",2024-09-18,"Sledgehammer Games, Treyarch, Infinity Ward, Beenox, Raven Software, High Moon Studios, Demonware",Activision,Mixed,(62% of 62) All Time,19,https://store.steampowered.com/app/2790740/Call_of_Duty_Modern_Warfare_III__BlackCell_Season_6?snr=1_category_4_action_salebrowseall
The Crew™ 2,"Take on the American motorsports scene as you explore and dominate the land, air, and sea across the entire USA. With a wide variety of cars, bikes, boats, and planes, compete in a wide range of driving disciplines.","Racing, Open World, Automobile Sim, Multiplayer, Driving, Massively Multiplayer, Action, Flight, Co-op, Singleplayer, Arcade, Online Co-Op, First-Person, Third Person, America, Simulation, Sports, Atmospheric, Adventure, Sandbox",2018-06-28,Ivory Tower,Ubisoft,Mostly Positive,"(71,364)",25914,https://store.steampowered.com/app/646910/The_Crew_2?snr=1_category_4_action_salebrowseall
Battlefield™ V,"This is the ultimate Battlefield V experience. Enter mankind’s greatest conflict with the complete arsenal of weapons, vehicles, and gadgets plus the best customization content of Year 1 and 2.","FPS, Multiplayer, World War II, Singleplayer, Shooter, War, Military, First-Person, Massively Multiplayer, PvP, Combat, Open World, Action, Historical, Destruction, Battle Royale, Atmospheric, Violent, Sexual Content, Female Protagonist",2018-11-09,DICE,Electronic Arts,Mostly Positive,"(196,885)",34879,https://store.steampowered.com/app/1238810/Battlefield_V?snr=1_category_4_action_salebrowseall
Sea of Thieves: 2024 Edition,"Sea of Thieves is a smash-hit pirate adventure game, offering the quintessential pirate experience of plundering lost treasures, intense battles, vanquishing sea monsters and more. Dive in with this revised edition of the game, which includes access to digital bonus media.","Multiplayer, Open World, Adventure, Pirates, Co-op, Online Co-Op, Action, PvP, Sailing, First-Person, Exploration, Naval, PvE, Funny, Massively Multiplayer, FPS, Atmospheric, Great Soundtrack, Swordplay, Singleplayer",2020-06-03,Rare Ltd,Xbox Game Studios,Very Positive,"(293,132)",149839,https://store.steampowered.com/app/1172620/Sea_of_Thieves_2024_Edition?snr=1_category_4_action_salebrowseall
Halo: The Master Chief Collection,"The Master Chief’s iconic journey includes six games, built for PC and collected in a single integrated experience. Whether you’re a long-time fan or meeting Spartan 117 for the first time, The Master Chief Collection is the definitive Halo gaming experience.","Great Soundtrack, FPS, Classic, Multiplayer, Story Rich, Sci-fi, Co-op, First-Person, Epic, Shooter, Action, Singleplayer, Aliens, Lore-Rich, Beautiful, Space, Atmospheric, Adventure, Horror, Online Co-Op",2019-12-03,"343 Industries, Splash Damage, Ruffian Games, Bungie, Saber Interactive",Xbox Game Studios,Very Positive,"(210,760)",159652,https://store.steampowered.com/app/976730/Halo_The_Master_Chief_Collection?snr=1_category_4_action_salebrowseall
Call of Duty®: Modern Warfare® III,"In the direct sequel to the record-breaking Call of Duty®: Modern Warfare® II, Captain Price and Task Force 141 face off against the ultimate threat.","Action, FPS, Multiplayer, Singleplayer, Shooter, Military, First-Person, PvP, War, Modern, Co-op, Tactical, Violent, Online Co-Op, Gore, Story Rich, Realistic, Combat, Open World, PvE",2023-11-10,"Sledgehammer Games, Treyarch, Infinity Ward, Beenox, Raven Software, High Moon Studios, Demonware",Activision,Mostly Negative,"(10,974)",6927,https://store.steampowered.com/app/2519060/Call_of_Duty_Modern_Warfare_III?snr=1_category_4_action_salebrowseall
The Witcher 3: Wild Hunt,"You are Geralt of Rivia, mercenary monster slayer. Before you stands a war-torn, monster-infested continent you can explore at will. Your current contract? Tracking down Ciri — the Child of Prophecy, a living weapon that can alter the shape of the world.","Open World, RPG, Story Rich, Atmospheric, Mature, Fantasy, Adventure, Singleplayer, Nudity, Choices Matter, Great Soundtrack, Third Person, Medieval, Action, Multiple Endings, Action RPG, Magic, Dark Fantasy, Dark, Sandbox",2015-05-18,CD PROJEKT RED,CD PROJEKT RED,Overwhelmingly Positive,"(726,659)",229117,https://store.steampowered.com/app/292030/The_Witcher_3_Wild_Hunt?snr=1_category_4_action_salebrowseall
LOCKDOWN Protocol,"A first person social deduction game, combining real time action and communication, 3 to 8 players. While most players will do their best to complete objectives and ensure victory, a small portion of dissidents will try to stop them at all costs, without getting caught.","Early Access, Multiplayer, Social Deduction, Conversation, Action, Space, Casual, Investigation, Sci-fi, Real Time Tactics, FPS, Puzzle, PvP, First-Person, Perma Death, Cute, 3D, Team-Based, Strategy, Stylized",2024-07-22,Mirage Creative Lab,Mirage Creative Lab,Very Positive,"(3,459)",2632,https://store.steampowered.com/app/2780980/LOCKDOWN_Protocol?snr=1_category_4_action_salebrowseall
Call of Duty®: Warzone™,"Welcome to Call of Duty®: Warzone™, the massive free-to-play combat arena which now features Urzikstan, Rebirth Island and Fortune’s Keep.","Free to Play, FPS, Battle Royale, Multiplayer, Action, Shooter, Violent, First-Person, Singleplayer, Gore, Military, PvP, Online Co-Op, Survival, Co-op, Realistic, Open World, Third Person, Adventure, Atmospheric",2022-11-16,"Infinity Ward, Raven Software, Beenox, Treyarch, High Moon Studios, Sledgehammer Games, Activision Shanghai, Demonware, Toys for Bob",Activision,Mostly Negative,"(37,789)",15528,https://store.steampowered.com/app/1962663/Call_of_Duty_Warzone?snr=1_category_4_action_salebrowseall
Rust,"The only aim in Rust is to survive. Everything wants you to die - the island’s wildlife and other inhabitants, the environment, other survivors. Do whatever it takes to last another night.","Survival, Crafting, Multiplayer, Open World, Open World Survival Craft, Building, PvP, Sandbox, Adventure, First-Person, Action, Nudity, FPS, Shooter, Co-op, Online Co-Op, Indie, Early Access, Post-apocalyptic, Simulation",2018-02-08,Facepunch Studios,Facepunch Studios,Very Positive,"(913,328)",550141,https://store.steampowered.com/app/252490/Rust?snr=1_category_4_action_salebrowseall
Noita,"Noita is a magical action roguelite set in a world where every pixel is physically simulated. Fight, explore, melt, burn, freeze and evaporate your way through the procedurally generated world using spells youve created yourself.","Physics, Difficult, Roguelike, Pixel Graphics, Dungeon Crawler, Indie, Open World, 2D, Sandbox, Perma Death, Action, Action Roguelike, Gun Customization, RPG, 2D Platformer, Roguelite, Dark Humor, Mythology, Action-Adventure, Crafting",2020-10-15,Nolla Games,Nolla Games,Overwhelmingly Positive,"(63,810)",42592,https://store.steampowered.com/app/881100/Noita?snr=1_category_4_action_salebrowseall
Dead Rising Deluxe Remaster,Dead Rising returns with modern graphics in this Deluxe Remaster!,"Action, Adventure, Zombies, Action-Adventure, Sandbox, Survival, Spectacle fighter, Horror, Dark, Dark Comedy, Time Management, Singleplayer, Sci-fi, Third Person, LGBTQ+, Gore, Cinematic, Cute, Multiple Endings, Funny",2024-09-19,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Very Positive,"(81% of 1,338) All Time",1386,https://store.steampowered.com/app/2527390/Dead_Rising_Deluxe_Remaster?snr=1_category_4_action_salebrowseall
ELDEN RING Shadow of the Erdtree,,"Action, RPG, Souls-like, Difficult, Fantasy, Dark, Lore-Rich, Exploration, Adventure, Story Rich, Third Person, Singleplayer, PvE, Action RPG, Character Customization, PvP, Online Co-Op, Multiplayer, 3D, Co-op",2024-06-21,"FromSoftware, Inc.","FromSoftware, Inc., Bandai Namco Entertainment",Mostly Positive,"(78,436)",47928,https://store.steampowered.com/app/2778580/ELDEN_RING_Shadow_of_the_Erdtree?snr=1_category_4_action_100726
Diablo® IV,"Join the fight for Sanctuary in Diablo® IV, the ultimate action RPG adventure. Experience the critically acclaimed campaign and new seasonal content.","Action RPG, Hack and Slash, Loot, Isometric, RPG, Online Co-Op, Singleplayer, Co-op, Action, Third Person, Dungeon Crawler, Multiplayer, Fantasy, PvE, Dark Fantasy, Story Rich, Gore, Exploration, Violent, Point & Click",2023-10-17,"Blizzard Entertainment, Inc.","Blizzard Entertainment, Inc.",Mostly Positive,"(23,757)",11876,https://store.steampowered.com/app/2344520/Diablo_IV?snr=1_category_4_action_100726
FINAL FANTASY XIV Online,"Join over 30 million adventurers worldwide and take part in an epic and ever-changing FINAL FANTASY. Experience an unforgettable story, exhilarating battles, and a myriad of captivating environments to explore.","MMORPG, RPG, Massively Multiplayer, Fantasy, Character Customization, JRPG, Story Rich, Open World, Multiplayer, Magic, Adventure, Third Person, Co-op, Action, Online Co-Op, Atmospheric, Exploration, Action RPG, Crafting, Female Protagonist",2014-02-18,Square Enix,Square Enix,Very Positive,"(70,358)",59794,https://store.steampowered.com/app/39210/FINAL_FANTASY_XIV_Online?snr=1_category_4_action_100726
Wallpaper Engine,Use stunning live wallpapers on your desktop. Animate your own images to create new wallpapers or import videos/websites and share them on the Steam Workshop!,"Mature, Utilities, Software, Anime, Design & Illustration, Animation & Modeling, NSFW, First-Person, Indie, Memes, Cute, Action, Singleplayer, Funny, Early Access, Photo Editing, Sandbox, Horror, Game Development, Gaming",2018-11-01,Wallpaper Engine Team,Wallpaper Engine Team,Overwhelmingly Positive,"(760,648)",210537,https://store.steampowered.com/app/431960/Wallpaper_Engine?snr=1_category_4_action_100726
Destiny 2,"Destiny 2 is an action MMO with a single evolving world that you and your friends can join anytime, anywhere, absolutely free.","Free to Play, Open World, Multiplayer, Looter Shooter, FPS, MMORPG, Co-op, PvE, PvP, Shooter, Massively Multiplayer, Loot, First-Person, Sci-fi, Action, Adventure, Lore-Rich, Space, Competitive, Atmospheric",2019-10-01,Bungie,Bungie,Very Positive,"(611,858)",356622,https://store.steampowered.com/app/1085660/Destiny_2?snr=1_category_4_action_100726
Team Fortress 2,"Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!","Free to Play, Hero Shooter, Multiplayer, FPS, Shooter, Action, Class-Based, Team-Based, Funny, First-Person, Online Co-Op, Competitive, Cartoony, Trading, Co-op, Comedy, Robots, Tactical, Cartoon, Crafting",2007-10-10,Valve,Valve,Very Positive,"(1,118,530)",683340,https://store.steampowered.com/app/440/Team_Fortress_2?snr=1_category_4_action_100726
The Elder Scrolls® Online,"Join over 22 million players in the award-winning online multiplayer RPG and experience limitless adventure in a persistent Elder Scrolls world. Battle, craft, steal, or explore, and combine different types of equipment and abilities to create your own style of play. No game subscription required.","RPG, MMORPG, Open World, Fantasy, Adventure, Exploration, Multiplayer, Singleplayer, Massively Multiplayer, Action, Character Customization, PvP, PvE, Lore-Rich, Story Rich, Choose Your Own Adventure, Magic, Action RPG, Class-Based, Atmospheric",2014-04-04,ZeniMax Online Studios,Bethesda Softworks,Very Positive,"(122,819)",79932,https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online?snr=1_category_4_action_100726
Red Dead Redemption 2,"Winner of over 175 Game of the Year Awards and recipient of over 250 perfect scores, RDR2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age. Also includes access to the shared living world of Red Dead Online.","Open World, Story Rich, Western, Adventure, Multiplayer, Action, Realistic, Singleplayer, Shooter, Atmospheric, Horses, Beautiful, Mature, Third-Person Shooter, Great Soundtrack, Third Person, Gore, Sandbox, First-Person, FPS",2019-12-05,Rockstar Games,Rockstar Games,Very Positive,"(571,694)",219251,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2?snr=1_category_4_action_100726
Black Desert,"Played by over 20 million Adventurers - Black Desert Online is an open-world, action MMORPG. Experience intense, action-packed combat, battle massive world bosses, fight alongside friends to siege and conquer castles, and train in professions such as fishing, trading, crafting, cooking, and more!","MMORPG, Massively Multiplayer, Open World, RPG, Character Customization, Adventure, Fantasy, Action, Strategy, 3D, Medieval, Crafting, Multiplayer, Atmospheric, Magic, Simulation, PvP, Cooking, War, Combat",2018-05-16,Pearl Abyss,Pearl Abyss,Mostly Positive,"(56,440)",46936,https://store.steampowered.com/app/582660/Black_Desert?snr=1_category_4_action_100726
Call of Duty®: Black Ops II,"Pushing the boundaries of what fans have come to expect from the record-setting entertainment franchise, Call of Duty®: Black Ops II propels players into a near future Cold War","Action, Multiplayer, FPS, Shooter, First-Person, Singleplayer, Co-op, War, Online Co-Op, Team-Based, Futuristic, Controller, Survival, Tactical, Great Soundtrack, Horror, Adventure, Sci-fi, Massively Multiplayer, Atmospheric",2012-11-12,Treyarch,Activision,Very Positive,"(19,930)",21097,https://store.steampowered.com/app/202970/Call_of_Duty_Black_Ops_II?snr=1_category_4_action_100726
Risk of Rain 2,"Escape a chaotic alien planet by fighting through hordes of frenzied monsters – with your friends, or on your own. Combine loot in surprising ways and master each character until you become the havoc you feared upon your first crash landing.","Third-Person Shooter, Action Roguelike, Multiplayer, Co-op, Action, Roguelite, Roguelike, Looter Shooter, Loot, Online Co-Op, Shooter, Difficult, Third Person, Great Soundtrack, Indie, Survival, Singleplayer, Soundtrack, Early Access, Bullet Hell",2020-08-11,Hopoo Games,Gearbox Publishing,Very Positive,"(198,844)",202234,https://store.steampowered.com/app/632360/Risk_of_Rain_2?snr=1_category_4_action_100726
Terraria,"Dig, fight, explore, build! Nothing is impossible in this action-packed adventure game. Four Pack also available!","Open World Survival Craft, Sandbox, Survival, 2D, Multiplayer, Adventure, Pixel Graphics, Crafting, Building, Exploration, Co-op, Open World, Online Co-Op, Indie, Action, RPG, Singleplayer, Replay Value, Platformer, Atmospheric",2011-05-16,Re-Logic,Re-Logic,Overwhelmingly Positive,"(1,061,260)",657354,https://store.steampowered.com/app/105600/Terraria?snr=1_category_4_action_100727
Left 4 Dead 2,"Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead, the #1 co-op game of 2008. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns.","Zombies, Co-op, FPS, Multiplayer, Shooter, Online Co-Op, Action, Survival, Horror, First-Person, Gore, Team-Based, Moddable, Survival Horror, Post-apocalyptic, Singleplayer, Adventure, Local Co-Op, Replay Value, Tactical",2009-11-16,Valve,Valve,Overwhelmingly Positive,"(670,096)",273964,https://store.steampowered.com/app/550/Left_4_Dead_2?snr=1_category_4_action_100727
